1;AM BESTEIROS;JUVENTUDE GUALTAR;24-09-2023
1;GD PENELA;JACARES FC;24-09-2023
1;A.C.R.FISCAL;FOLGA;24-09-2023 
1;EU BARREIRO;IMPARAVEIS FC;24-09-2023
1;LEOES STA LUCRECIA;ESTRELAS DE FERREIROS;24-09-2023
1;UF GARAPOA;ACRD MALMEQUERES;24-09-2023
1;FOLGA;BARROS FC;24-09-2023
1;UNIAO DA RODOVIA;ARC CAIRES;24-09-2023
2;JUVENTUDE GUALTAR;UNIAO DA RODOVIA;01-10-2023
2;JACARES FC;AM BESTEIROS;01-10-2023
2;FOLGA;GD PENELA;01-10-2023
2;IMPARAVEIS FC;A.C.R.FISCAL;01-10-2023
2;ESTRELAS DE FERREIROS;EU BARREIRO;01-10-2023
2;ACRD MALMEQUERES;LEOES STA LUCRECIA;01-10-2023
2;BARROS FC;UF GARAPOA;01-10-2023
2;ARC CAIRES;FOLGA;01-10-2023	
3;JUVENTUDE GUALTAR;JACARES FC;08-10-2023
3;AM BESTEIROS;FOLGA;08-10-2023
3;GD PENELA;IMPARAVEIS FC;08-10-2023
3;A.C.R.FISCAL;ESTRELAS DE FERREIROS;08-10-2023
3;EU BARREIRO;ACRD MALMEQUERES;08-10-2023
3;LEOES STA LUCRECIA;BARROS FC;08-10-2023
3;UF GARAPOA;ARC CAIRES;08-10-2023
3;UNIAO DA RODOVIA;FOLGA;08-10-2023			
4;JACARES FC;UNIAO DA RODOVIA;15-10-2023
4;FOLGA;JUVENTUDE GUALTAR;15-10-2023
4;IMPARAVEIS FC;AM BESTEIROS;15-10-2023
4;ESTRELAS DE FERREIROS;GD PENELA;15-10-2023
4;ACRD MALMEQUERES;A.C.R.FISCAL;15-10-2023
4;BARROS FC;EU BARREIRO;15-10-2023
4;ARC CAIRES;LEOES STA LUCRECIA;15-10-2023
4;FOLGA;UF GARAPOA;15-10-2023	
5;JACARES FC;FOLGA;22-10-2023
5;JUVENTUDE GUALTAR;IMPARAVEIS FC;22-10-2023
5;AM BESTEIROS;ESTRELAS DE FERREIROS;22-10-2023
5;GD PENELA;ACRD MALMEQUERES;22-10-2023
5;A.C.R.FISCAL;BARROS FC;22-10-2023
5;EU BARREIRO;ARC CAIRES;22-10-2023
5;LEOES STA LUCRECIA;FOLGA;22-10-2023 
5;UNIAO DA RODOVIA;UF GARAPOA;22-10-2023		
6;FOLGA;UNIAO DA RODOVIA;29-10-2023
6;IMPARAVEIS FC;JACARES FC;29-10-2023
6;ESTRELAS DE FERREIROS;JUVENTUDE GUALTAR;29-10-2023
6;ACRD MALMEQUERES;AM BESTEIROS;29-10-2023
6;BARROS FC;GD PENELA;29-10-2023
6;ARC CAIRES;A.C.R.FISCAL;29-10-2023
6;FOLGA;EU BARREIRO;29-10-2023
6;UF GARAPOA;LEOES STA LUCRECIA;29-10-2023 			
7;FOLGA;IMPARAVEIS FC;05-11-2023
7;JACARES FC;ESTRELAS DE FERREIROS;05-11-2023
7;JUVENTUDE GUALTAR;ACRD MALMEQUERES;05-11-2023
7;AM BESTEIROS;BARROS FC;05-11-2023
7;GD PENELA;ARC CAIRES;05-11-2023
7;A.C.R.FISCAL;FOLGA;05-11-2023 
7;EU BARREIRO;UF GARAPOA;05-11-2023
7;UNIAO DA RODOVIA;LEOES STA LUCRECIA;05-11-2023			
8;IMPARAVEIS FC;UNIAO DA RODOVIA;12-11-2023
8;ESTRELAS DE FERREIROS;FOLGA;12-11-2023
8;ACRD MALMEQUERES;JACARES FC;12-11-2023
8;BARROS FC;JUVENTUDE GUALTAR;12-11-2023
8;ARC CAIRES;AM BESTEIROS;12-11-2023
8;FOLGA;GD PENELA;12-11-2023
8;UF GARAPOA;A.C.R.FISCAL;12-11-2023
8;LEOES STA LUCRECIA;EU BARREIRO;12-11-2023		
9;IMPARAVEIS FC;ESTRELAS DE FERREIROS;26-11-2023
9;FOLGA;ACRD MALMEQUERES;26-11-2023
9;JACARES FC;BARROS FC;26-11-2023
9;JUVENTUDE GUALTAR;ARC CAIRES;26-11-2023
9;AM BESTEIROS;FOLGA;26-11-2023
9;GD PENELA;UF GARAPOA;26-11-2023
9;A.C.R.FISCAL;LEOES STA LUCRECIA;26-11-2023
9;UNIAO DA RODOVIA;EU BARREIRO;26-11-2023 			
10;ESTRELAS DE FERREIROS;UNIAO DA RODOVIA;03-12-2023
